review	aspect	sentiment
 xbox live : angielo is currently online . playing gears of war 2 . public execution on jacinto . -lrb- $t$ live nation -rrb-	xbox	0
 sarah palin is awesome . | yes she is !	sarah palin	1
russell brand and katy perry suit each other . they 're both weird .	katy perry	-1
 lindsay lohan must hate herself : samantha ronson has more followers on twitter . you know you 've hit rock bottom when ...	lindsay lohan	0
i could kill that woman on the windows 7 advert . you did n't invent a computer in a taxi . bimbo .	windows 7	0
people whose reactions i 'd appreciate this morning : bill clinton 's , hillary clinton ' is ... george bush 's -lrb- latter for completely difference reasons -rrb-	hillary clinton	0
 madonna feat little wayne ??	madonna	0
 lindsay lohan ' s proud -lrb- ha ! -rrb- papa , michael lohan , told radar that lindsay is addicted to prescription pills .	lindsay lohan	0
bbc sport - maradona denies threat to resign : diego $t$ denies threatening to quit as argentina . .	maradona	0
and he has a vision too ! mirzan mahatir is looking like steve jobs right now .	steve jobs	0
saw pictures of lindsay lohan damn baby what happened ?	lindsay lohan	0
new awesome puzzle game for ipad : loops of zen	ipad	0
 charlie sheen 's porn whore dumps him via sms while he 's on stage in florida . still '' winning '' charles ? lol . when keeping it real goes wrong !!	charlie sheen	-1
great video from google employees , reply : internet safety for parents . via web20classroom kevcreutz rjacklin	google	1
my 3 year daughter said '' i love micheal jackson but why does he look like a cat ? '' i said who told you that she said '' i have eyes mommy ' lol .	micheal jackson	-1
nicki ? nicki minaj ? psssh no ways ! lol india arie yes dats more like it , but you ? you becoming a reason too bluembali	nicki minaj	-1
those privileged fucks got ta learn that we ai n't taking ' no shit like ellen degeneres clitoris is playing ' with penis .	ellen degeneres	-1
welp did n't get 2c jimmy fallon oh well looks like anotha boring night 4me !! should have played drums 2nite silly me gn world	jimmy fallon	1
i love google ! as a whole with all its services	google	1
can someone invite me to google wave please ?	google wave	0
news . real . time historic boost to barack obama ' is health reforms after key republican 's support : on . .	barack obama	1
wow , lindsay lohan is looking like garbage . what 's she doing to herself ?	lindsay lohan	-1
 britney spears is truly amazing . idc what anyone says !!	britney spears	1
