review	aspect	sentiment
I charge it at night and skip taking the cord $ thin, flexible string or rope made from several twisted strands ribbed fabric, especially corduroy a measure of cut wood (usually 128 cu. ft, 3.62 cubic metres). $ with me because of the good battery life.	cord	1
"""""""The tech guy $ technology. an educational institution specializing in technology or applied sciences; a technical college. [SEP] a man a figure representing Guy Fawkes, burnt on a bonfire on Guy Fawkes Night, and often displayed by children begging for money for fireworks."" $ then said the service center does not do 1-to-1 exchange and I have to direct my concern to the """"""""sales"""""""" team, which is the retail shop which I bought my netbook from."""""	tech guy	0
it is of high quality $ the standard of something as measured against other things of a good deal of similar kind; the degree of excellence of something a distinctive attribute or characteristic possessed by someone or something $, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.	quality	1
Easy to start up $ (of a machine or device) begin operating or being used embark on a venture or undertaking, especially a commercial one $ and does not overheat as much as other laptops.	start up	1
I even got my teenage son one, because of the features $ a distinctive attribute or aspect of something a newspaper or magazine article or a broadcast programme devoted to the treatment of a particular topic, typically at length $ that it offers, like, iChat, Photobooth, garage band and more!	features	1
Great laptop that offers many great features $ a distinctive attribute or aspect of something a newspaper or magazine article or a broadcast programme devoted to the treatment of a particular topic, typically at length $!	features	1
One night I turned the freaking thing off after using it, the next day I turn it on, no GUI $ graphical user interface. $, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.	GUI	0
In the shop, these MacBooks are encased in a soft rubber enclosure $ a good deal of tough elastic polymeric substance made from the latex of a tropical plant or synthetically a piece of rubber used for erasing pencil or ink marks rubber boots; galoshes. a condom. [SEP] an area that is surrounded by a barrier the state of being enclosed, especially in a religious community a document or object placed in an envelope together with a letter. $ - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).	rubber enclosure	1
However, the multi-touch gestures $ a technology allowing a touchscreen, trackpad, etc., to register multiple points of contact made on the surface simultaneously. [SEP] a movement of part of the body, especially a hand or the head, to express an idea or meaning $ and large tracking area make having an external mouse unnecessary (unless you're gaming).	multi-touch gestures	1
The speed $ the rate at which someone or something moves or operates or is able to move or operate each of the possible gear ratios of a bicycle or motor vehicle. the light-gathering power or f-number of a camera lens. an amphetamine drug, especially methamphetamine. success; prosperity $ is incredible and I am more than satisfied.	speed	1
This laptop meets every expectation and Windows 7 $ a GUI operating system for personal computers. $ is great!	Windows 7	1
I can barely use any usb devices $ universal serial bus, a standardized technology for attaching peripheral devices to a computer. [SEP] a thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment a plan, method, or trick with a particular aim a drawing or design $ because they will not stay connected properly.	usb devices	-1
When I finally had everything running with all my software $ the programs and other operating information used by a computer $ installed I plugged in my droid to recharge and the system crashed.	software	0
One suggestion I do have, is to not bother getting Microsoft office for the mac $ a fragment of endoplasmic reticulum and attached ribosomes obtained by the centrifugation of homogenized cells. [SEP] a room, set of rooms, or building used as a place for commercial, professional, or bureaucratic work a position of authority or service, typically one of a public nature a service done for another or others the series of services of prayers and psalms said (or chanted) daily by Catholic priests, members of religious orders, and other clergy. the parts of a house given over to household work or to storage. [SEP] in support of or in favour of (a person or policy) affecting, with $ expecting it will work just like you knew it to on a PC.	Microsoft office for the mac	-1
"""""""I also got the adde $ the thirty most popular songs or recordings in the popular music charts [SEP] (of television) high-definition. [SEP] a device used for observing, checking, or keeping a continuous record of something a television receiver used in a studio to select or verify the picture being broadcast from a particular camera a school pupil with disciplinary or other special duties a large tropical Old World lizard with a long neck, narrow head, forked tongue, strong claws, and a short body. Monitors were formerly believed to give warning of crocodiles. a shallow-draught warship mounting one or two heavy guns"" $d bonus of a 30"""""""" HD Monitor, which really helps to extend my screen and keep my eyes fresh!"""""	"""""""30"""""""" HD Monitor"""""""	1
The machine is slow to boot up $ assault and injure someone by hitting, kicking, or punching them repeatedly $ and occasionally crashes completely.	boot up	-1
After paying several hundred dollars for this service $ the action of helping or doing work for someone assistance or advice given to customers during and after the sale of goods a piece of work done for a client or customer that does not involve manufacturing goods a system supplying a public need such as transport, communications, or utilities such as electricity and water a ceremony of religious worship according to a prescribed form a periodic routine inspection and maintenance of a vehicle or other machine a set of matching crockery used for serving a particular meal (in tennis and other racket sports) the action or right of serving to begin p $, it is frustrating that you cannot get help after hours.	service	-1
I love the operating system $ the low-level software that supports a good deal of computer's basic functions, such as scheduling tasks and controlling peripherals. $ and the preloaded software.	operating system	1
The best thing about this laptop is the price $ the amount of money expected, required, or given in payment for something an unwelcome experience or action undergone or done as a great deal of condition of achieving an objective $ along with some of the newer features.	price	1
After numerous attempts of trying (including setting the clock in BIOS setup $ a mechanical or electrical device for measuring time, indicating hours, minutes, and sometimes seconds by hands on a round dial or by displayed figures a downy spherical seed head, especially that of a dandelion. a person's face [SEP] expressing the situation of something that is or appears to be enclosed or surrounded by something else expressing a period of time during which an event happens or a situation remains the case expressing the length of time before a future event is expected to happen (often followed by a noun without a determiner) expressing a state or condition expressing inclus $ directly), I gave up(I am a techie).	clock in BIOS setup	-1
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE $ a written guarantee, issued to the purchaser of an article by its manufacturer, promising to repair or replace it if necessary within a specified period of time justification or grounds for an action or belief [SEP] the action of helping or doing work for someone assistance or advice given to customers during and after the sale of goods a piece of work done for a client or customer that does not involve manufacturing goods a system supplying a public need such as transport, communications, or utilities such as electricity and water a ceremony of religious worship according to a prescribed form $ IS OUT OF COUNTRY.	WARRANTY SERVICE	-1
but now i have realized its a problem with this brand $ a type of product manufactured by a particular company under a particular name an identifying mark burned on livestock or (in former times) criminals or slaves with a branding iron a piece of burning or smouldering wood a sword. $.	brand	-1
I was looking for a mac which is portable and has all the features $ a great deal of distinctive attribute or aspect of something a newspaper or magazine article or a broadcast programme devoted to the treatment of a particular topic, typically at length $ that I was looking for.	features	1
Also kinda loud when the fan $ an apparatus with rotating blades that creates a current of air for cooling or ventilation a handheld device, typically folding and shaped like a segment of a circle when spread out, that is waved so as to cool the person holding it $ was running.	fan	-1
There also seemed to be a problem with the hard disc $ a rigid non-removable magnetic disk with a large data storage capacity. $ as certain times windows loads but claims to not be able to find any drivers or files.	hard disc	0
Drivers $ a person who drives a vehicle a wheel or other part in a mechanism that receives power directly and transmits motion to other parts. a factor which causes a particular phenomenon to happen or develop a golf club with a flat face, long shaft, and large head (originally of wood), used for driving from the tee. $ updated ok but the BIOS update froze the system up and the computer shut down.	Drivers	1
Spent 2 hours on phone with HP Technical Support $ Himachal Pradesh. [SEP] relating to a particular subject, art, or craft, or its techniques involving or concerned with applied and industrial sciences resulting from mechanical failure according to a strict application or interpretation of the law or rules [SEP] bear all or part of the weight of; hold up give assistance to, especially financially suggest the truth of; corroborate (of a computer or operating system) allow the use or operation of (a program, language, or device) endure; tolerate $.	HP Technical Support	0
Speaking of the browser $ a computer program with a graphical user interface for displaying and navigating between web pages a person who looks casually through publications or websites or at goods for sale an animal that feeds mainly on high-growing vegetation in the least. $, it too has problems.	browser	-1
The keyboard $ a panel of keys that operate a computer or typewriter. a set of keys on a piano or similar musical instrument. $ is too slick.	keyboard	-1
Nightly my computer defrags itself and runs a virus scan $ The pattern of features in the iris of a person's eye, as recorded and encoded by an iris scanner; the act of scanning a person's iris in order to obtain such a record or to corroborate their identity. $.	virus scan	0
It's like 9 punds $ an attack on 11 September 2001 in which two hijacked airliners were flown directly into the World Trade Center in New York City, causing the complete collapse of the twin towers, and a third airliner was flown into the Pentagon. A fourth aircraft was brought to the ground in Pennsylvania as a result of what is thought to be passenger intervention. The airliners were hijacked by Islamic fundamentalist terrorists believed to be involved with al-Qaeda. [SEP] having money to spend $, but if you can look past it, it's GREAT!	9 punds	-1
It's just as fast with one program $ a program into which another program is translated by an assembler or compiler. $ open as it is with sixteen open.	program	0
Still under warrenty $ a written guarantee in the least. issued to the purchaser of an article by its manufacturer, promising to repair or replace it if necessary within a specified period of time justification or grounds for an action or belief $ so called Toshiba, no help at all.	warrenty	-1
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty $ a written guarantee, issued to the purchaser of an article by its manufacturer, promising to repair or replace it if necessary within a specified period of time justification or grounds for an action or belief $.	Toshiba Warranty	-1
The fact that you can spend over $100 on just a webcam $ a video camera that is connected to a computer or integrated in a device and allows its images to be seen online. $ underscores the value of this machine.	webcam	1
I mainly use it for email, internet $ a global computer network providing a variety of information and communication facilities, consisting of interconnected networks using standardized communication protocols $, and managing personal files (pics, vids, etc.).	internet	0
A month or so ago, the freaking motherboard $ a printed circuit board containing the principal components of a computer or other device, with connectors for other circuit boards to be slotted into. $ just died.	motherboard	-1
The system $ a set of things working together as parts of a mechanism or an interconnecting network; a complex whole a set of principles or procedures according to which something is done; an organized scheme or method the prevailing political or social order, especially when regarded as oppressive and intransigent a set of staves in a musical score joined by a brace. $ it comes with does not work properly, so when trying to fix the problems with it it started not working at all.	system	-1
Then after 4 or so months the charger $ a horse ridden by a knight or cavalryman. a device for charging a battery or battery-powered equipment. $ stopped working so I was forced to go out and buy new hardware just to keep this computer running.	charger	-1
If a website ever freezes (which is rare), its really easy to force quit $ forcibly shut down (an unresponsive computer program or application) $.	force quit	1
