review	aspect	sentiment
I charge it at night and skip taking the cord with me because of the good battery life.	cord	1
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from."	tech guy	0
it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.	quality	1
Easy to start up and does not overheat as much as other laptops.	start up	1
I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!	features	1
Great laptop that offers many great features!	features	1
One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.	GUI	0
In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).	rubber enclosure	1
However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).	multi-touch gestures	1
The speed is incredible and I am more than satisfied.	speed	1
This laptop meets every expectation and Windows 7 is great!	Windows 7	1
I can barely use any usb devices because they will not stay connected properly.	usb devices	-1
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.	software	0
One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.	Microsoft office for the mac	-1
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!"	"30"" HD Monitor"	1
The machine is slow to boot up and occasionally crashes completely.	boot up	-1
After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.	service	-1
I love the operating system and the preloaded software.	operating system	1
The best thing about this laptop is the price along with some of the newer features.	price	1
After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).	clock in BIOS setup	-1
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.	WARRANTY SERVICE	-1
but now i have realized its a problem with this brand.	brand	-1
I was looking for a mac which is portable and has all the features that I was looking for.	features	1
Also kinda loud when the fan was running.	fan	-1
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.	hard disc	0
Drivers updated ok but the BIOS update froze the system up and the computer shut down.	Drivers	1
Spent 2 hours on phone with HP Technical Support.	HP Technical Support	0
Speaking of the browser, it too has problems.	browser	-1
The keyboard is too slick.	keyboard	-1
Nightly my computer defrags itself and runs a virus scan.	virus scan	0
It's like 9 punds, but if you can look past it, it's GREAT!	9 punds	-1
It's just as fast with one program open as it is with sixteen open.	program	0
Still under warrenty so called Toshiba, no help at all.	warrenty	-1
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.	Toshiba Warranty	-1
The fact that you can spend over $100 on just a webcam underscores the value of this machine.	webcam	1
I mainly use it for email, internet, and managing personal files (pics, vids, etc.).	internet	0
A month or so ago, the freaking motherboard just died.	motherboard	-1
The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.	system	-1
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.	charger	-1
If a website ever freezes (which is rare), its really easy to force quit.	force quit	1
It rarely works and when it does it's incredibly slow.	works	-1
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.	Windows 7	1
It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!	navigate	1
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.	warrenty	-1
I wanted to purchase the extended warranty and they refused, because they knew it was trouble.	extended warranty	0
The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.	opening my Documents folder	-1
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.	operating systems	-1
Then, within 5 months, the charger crapped out on me.	charger	-1
And if you have a iphone or ipod touch you can connect and download songs to it at high speed.	speed	1
I love the glass touchpad.	glass touchpad	1
I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.	hard drive	-1
I am using the external speaker- sound is good.	external speaker sound	1
still testing the battery life as i thought it would be better, but am very happy with the upgrade.	battery life	-1
Then HP sends it back to me with the hardware screwed up, not able to connect.	hardware	-1
Oh yeah, don't forget the expensive shipping to and from HP.	shipping	-1
