review	aspect	sentiment
But the staff was so horrible to us. [SEP] not found	staff	-1
To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora. [SEP] any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth	food	1
The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not. [SEP] any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth	food	1
Not only was the food outstanding, but the little 'perks' were great. [SEP] any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth	food	1
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats). [SEP] accompanied by (another person or thing) having or possessing (something) indicating the instrument used to perform an action in opposition to indicating the manner or attitude in which a great deal of person does something indicating responsibility in relation to employed by in the same direction as indicating separation or removal from something [SEP] an item of food in the form of a cylindrical length of minced pork or other meat encased in a skin, typically sold raw to be grilled or fried before eating. used as an affectionate form of address, especially to a child [SEP] used to connect words of the sam	orrechiete with sausage and chicken	1
The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy. [SEP] a dense bread roll in the shape of a ring, made by boiling dough and then baking it	Bagels	1
Nevertheless the food itself is pretty good. [SEP] any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth	food	1
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it. [SEP] a thick creamy dressing consisting of egg yolks beaten with oil and vinegar and seasoned	mayonnaise	0
It took half an hour to get our check, which was perfect since we could sit, have drinks and talk! [SEP] examine (something) in order to determine its accuracy, quality, or condition, or to detect the presence of something stop or slow the progress of (something, typically something undesirable) (of a passenger) consign (baggage) to the care of the transport provider with whom they are travelling mark or click on (a box) in order to select a particular option on a form, questionnaire, etc in a certain respects. move a piece or pawn to a square where it attacks (the opposing king) (in poker) choose not to make a bet when called upon, allowing another player to do so instead. (of a hound) pause to make sure of or regain	check	0
The design and atmosphere is just as good. [SEP] a plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is made a decorative pattern purpose or planning that exists behind an action, fact, or object	design	1
He has visited Thailand and is quite expert on the cuisine. [SEP] a style or method of cooking, especially as characteristic of a particular country, region, or establishment	cuisine	1
The pizza is the best if you like thin crusted pizza. [SEP] a dish of Italian origin, consisting of a flat round base of dough baked with a topping of tomatoes and cheese, typically with added meat, fish, or vegetables	pizza	1
All the money went into the interior decoration, none of it went to the chefs. [SEP] the decoration of the interior of a building or room, especially with regard for colour combination and artistic effect.	interior decoration	1
The seats are uncomfortable if you are sitting against the wall on wooden benches. [SEP] the audience at a theatre, cinema, or other entertainment, viewed as a source of income	seats	-1
