review	aspect	sentiment
We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.	staff	-1
The food was lousy - too sweet or too salty and the portions tiny.	food	-1
Avoid this place!	place	-1
I have eaten at Saul, many times, the food is always consistently, outrageously good.	food	1
Saul is the best restaurant on Smith Street and in Brooklyn.	Saul	1
The wine list is interesting and has many good values.	wine list	1
I was very disappointed with this restaurant.	restaurant	-1
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.	cart attendant	-1
Food was okay, nothing great.	Food	0
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	Chow fun	-1
I/we will never go back to this place again.	place	-1
Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!	Fish	1
Service was devine, oysters where a sensual as they come, and the price can't be beat!!!	Service	1
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.	Restaurant Saul	1
Everything is always cooked to perfection, the service is excellent, the decor cool and understated.	service	1
I had the duck breast special on my last visit and it was incredible.	duck breast special	1
The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.	food	-1
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.	Grilled Chicken special with Edamame Puree	1
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).	Edamame pureed	1
The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.	decor	1
Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!	sake list	1
The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!	spicy tuna roll	1
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!	service	1
THe perfect spot.	spot	1
Food-awesome.	Food	1
Service- friendly and attentive.	Service	1
Ambiance- relaxed and stylish.	Ambiance	1
Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.	place	1
the food is decent.	food	0
however, it's the service that leaves a bad taste in my mouth.	service	-1
i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.	waiter	-1
Food is great.	Food	1
Service is top notch.	Service	1
I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.	sea urchin	1
