review	aspect	sentiment
Judging from previous posts this used to be a good place $ a particular position, point, or area in space; a location a portion of space designated or available for or being used by someone a position in a sequence or series, typically one ordered on the basis of merit a square or short street $, but not any longer.	place	-1
We, there were four of us, arrived at noon - the place was empty - and the staff $ not found $ acted like we were imposing on them and they were very rude.	staff	-1
The food $ any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth $ was lousy - too sweet or too salty and the portions tiny.	food	-1
Avoid this place $ a particular position, point, or area in space; a location a portion of space designated or available for or being used by someone a position in a sequence or series, typically one ordered on the basis of merit a square or short street $!	place	-1
I have eaten at Saul, many times, the food $ any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth $ is always consistently, outrageously good.	food	1
Saul $ (in the Bible) the first king of Israel (11th century BC). $ is the best restaurant on Smith Street and in Brooklyn.	Saul	1
The wine list $ a list of the wines available in a restaurant. $ is interesting and has many good values.	wine list	1
I was very disappointed with this restaurant $ a place where people pay to sit and eat meals that are cooked and served on the premises $.	restaurant	-1
Ive asked a cart attendant $ A person employed, especially on a part-time basis, to relieve a carer. $ for a lotus leaf wrapped rice and she replied back rice and just walked away.	cart attendant	-1
Food $ any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth $ was okay, nothing great.	Food	0
Chow fun $ dominate or be in charge of an undertaking or area of activity $ was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	Chow fun	-1
Went on a 3 day oyster binge, with Fish $ a limbless cold-blooded vertebrate animal with gills and fins living wholly in water a person who is strange in a specified way $ bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!	Fish	1
Service $ the action of helping or doing work for someone assistance or advice given to customers during and after the sale of goods a piece of work done for a client or customer that does not involve manufacturing goods a system supplying a public need such as transport, communications, or utilities such as electricity and water a ceremony of religious worship according to a prescribed form a periodic routine inspection and maintenance of a vehicle or other machine a set of matching crockery used for serving a particular meal (in tennis and other racket sports) the action or right of serving to begin p $ was devine, oysters where a sensual as they come, and the price can't be beat!!!	Service	1
Every time in New York I make it a point to visit Restaurant Saul $ a place where people pay to sit and eat meals that are cooked and served on the premises [SEP] (in the Bible) the first king of Israel (11th century BC). $ on Smith Street.	Restaurant Saul	1
Everything is always cooked to perfection, the service $ the action of helping or doing work for someone assistance or advice given to customers during and after the sale of goods a piece of work done for a client or customer that does not involve manufacturing goods a system supplying a public need such as transport, communications, or utilities such as electricity and water a ceremony of religious worship according to a prescribed form a periodic routine inspection and maintenance of a vehicle or other machine a set of matching crockery used for serving a particular meal (in tennis and other racket sports) the action or right of serving to begin p $ is excellent, the decor cool and understated.	service	1
I had the duck breast special $ a waterbird with a broad blunt bill, short legs, webbed feet, and a waddling gait. a pure white thin-shelled bivalve mollusc found off the Atlantic coasts of America. an amphibious transport vehicle [SEP] either of the two soft, protruding organs on the upper front of a woman's body which secrete milk after childbirth a person's chest, especially when regarded as the seat of the emotions [SEP] better, greater, or otherwise different from what is usual belonging specifically to a particular person or place denoting a group consisting of matrices of unit determinant. $ on my last visit and it was incredible.	duck breast special	1
The food $ any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth in the least. $ is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.	food	-1
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree $ (of food, especially meat) cooked on a rack over an open flame [SEP] a domestic fowl kept for its eggs or meat, especially a young one a cowardly person; a coward. [SEP] better, greater, or otherwise different from what is usual belonging specifically to a particular person or place denoting a group consisting of matrices of unit determinant. [SEP] accompanied by (another person or thing) having or possessing (something) indicating the instrument used to perform an action in opposition to indicating the manner or attitude in which a person does something indicating responsibility in relation t $.	Grilled Chicken special with Edamame Puree	1
I had never had Edamame pureed $ a Japanese dish of salted green soybeans boiled in their pods, typically served as a snack or appetizer. [SEP] a smooth cream of liquidized or crushed fruit or vegetables $ before but I thought it was innovative and tasty (could've used a bit more salt).	Edamame pureed	1
The decor $ the furnishing and decoration of a room $ is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.	decor	1
Their sake list $ A (notional or real) list of people or things regarded with hostility, enmity, or hatred. (In weakened use, especially humorously) a (notional or real) list of people or things regarded as irritating, annoying, or otherwise objectionable. $ was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!	sake list	1
The spicy tuna roll $ flavoured with or fragrant with spice exciting or entertaining, especially through being mildly indecent [SEP] a large and active predatory schooling fish of warm seas, extensively fished commercially and popular as a game fish. [SEP] move in a particular direction by turning over and over on an axis (of a vehicle) move or run on wheels turn (something flexible) over and over on itself to form a cylinder, tube, or ball flatten (something) by passing a roller over it or by passing it between rollers (of a loud, deep sound) reverberate rob (someone, typically when they are intoxicated or asleep) $ was unusually good and the rock shrimp tempura was awesome, great appetizer to share!	spicy tuna roll	1
We went around 9:30 on a Friday and it had died down a bit by then so the service $ the action of helping or doing work for someone assistance or advice given to customers during and after the sale of goods a piece of work done for a client or customer that does not involve manufacturing goods a system supplying a public need such as transport, communications, or utilities such as electricity and water a ceremony of religious worship according to a prescribed form a periodic routine inspection and maintenance of a vehicle or other machine a set of matching crockery used for serving a particular meal (in tennis and other racket sports) the action or right of serving to begin p $ was great!	service	1
we love th pink pony $ relating to or covered with pines $.	pink pony	1
THe perfect spot $ not found $.	spot	1
Food $ any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth $-awesome.	Food	1
Service $ the action of helping or doing work for someone assistance or advice given to customers during and after the sale of goods a piece of work done for a client or customer that does not involve manufacturing goods a system supplying a public need such as transport, communications, or utilities such as electricity and water a ceremony of religious worship according to a prescribed form a periodic routine inspection and maintenance of a vehicle or other machine a set of matching crockery used for serving a particular meal (in tennis and other racket sports) the action or right of serving to begin p $- friendly and attentive.	Service	1
Ambiance $ the character and atmosphere of a place $- relaxed and stylish.	Ambiance	1
Don't judge this place $ a particular position, point, or area in space; a location a portion of space designated or available for or being used by someone a position in a sequence or series, typically one ordered on the basis of merit a square or short street $ prima facie, you have to try it to believe it, a home away from home for the literate heart.	place	1
the food $ any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth $ is decent.	food	0
